id,stratum,gold,bert_pred,bert_conf,llm_pred,llm_pconf,correct,stated_decision,decision_consistency,n_sentences,n_cited_sentences,rationale_frac,rationale_text,self_comp_delete,self_suff_delete,self_comp_mask,self_suff_mask,occ_comp_delete,occ_suff_delete,occ_comp_mask,occ_suff_mask,rand_comp_delete,rand_comp_mask,rand_suff_delete,rand_suff_mask
230,high_confidence_correct,no_violation,no_violation,0.9974564,no_violation,0.9895,1,no_violation,1,10,5,0.7272,"   Başvuru formu ve eklerinde ifade edildiği şekliyle ilgili olaylar özetle şöyledir: 1989 doğumlu olan başvurucu 1/10/2011 tarihinden beri çeşitli alt işverenler nezdinde (şirket) Pamukkale Üniversitesi Sağlık Araştırma ve Uygulama Merkezi Müdürlüğü (Kurum) bünyesinde veri giriş personeli olarak olarak çalışmakta iken 23/1/2017 tarihinde başvurucunun iş akdi feshedilmiştir.  Başvurucu, feshin geçersizliğinin tespitine ve işe iadesine karar verilmesi talepleriyle şirket ve Kurum aleyhine Denizli  İş Mahkemesi (Mahkeme) nezdinde 6/2/2017 tarihinde dava açmıştır.  Mahkeme 7/12/2017 tarihli kararıyla davanın reddine hükmetmiş; kararda 23/7/2016 tarihli ve 29779 sayılı Resmî Gazete'de yayımlanan 667 sayılı Olağanüstü Hal Kapsamında Alınan Tedbirlere İlişkin Kanun Hükmünde Kararname'nin  maddesi gereği başvurucunun işine son verildiği ve feshin geçerli sebebe dayandığı belirtilmiştir. Başvurucu, davanın reddi kararına karşı istinaf talebinde bulunmuş; talebi inceleyen Antalya Bölge Adliye Mahkemesi  Hukuk Dairesi 28/5/2018 tarihli kararıyla, eksik inceleme yapıldığı gerekçesiyle kararın kaldırılmasına ve dosyanın iadesine hükmetmiştir. Dosya kendisine geri gelen Mahkeme 26/11/2019 tarihli karar ile davanın reddine hükmetmiştir.",0.7502,-0.0053,0.7951,-0.0048,0.0029,-0.0084,0.0031,-0.0082,0.2171,0.1527,0.233,0.0977
294,high_confidence_correct,no_violation,no_violation,0.99725276,no_violation,0.9974,1,no_violation,1,11,5,0.5039," Başvuru, başvuru formu ve eklerinin idari yönden yapılan ön incelemesinden sonra Komisyona sunulmuştur. Komisyonca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına karar verilmiştir.   Başvuru formu ve eklerinde ifade edildiği şekliyle ve Ulusal Yargı Ağı Bilişim Sistemi (UYAP) aracılığıyla erişilen bilgi ve belgeler çerçevesinde olaylar özetle şöyledir:  İstanbul Anadolu Cumhuriyet Başsavcılığı 8/4/2013 tarihli iddianame ile başvurucu hakkında O.ye karşı hakaret ve tehdit suçlarını işlediği iddiasıyla cezalandırılması talebiyle kamu davası açmıştır. İstanbul (kapatılan) Anadolu  Sulh Ceza Mahkemesi 3/7/2014 tarihli karar ile dinlenen tanık beyanları ve dosya kapsamından başvurucunun tehdit suçundan beraatine ve müştekiye yönelik ""Apartmanı soydun hırsız defol"" gibi sözler nedeniyle hakaret suçundan 740 TL adli para cezası ile cezalandırılmasına karar vermiştir.",0.0044,-0.0001,0.0033,0.0005,0.1577,-0.0012,0.1012,-0.0011,0.164,0.1126,0.0197,0.0844
143,high_confidence_correct,no_violation,no_violation,0.9972519,no_violation,0.9983,1,no_violation,1,11,5,0.6178, Birinci Bölüm Üçüncü Komisyonunca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına karar verilmiştir.    Başvuru formu ve eklerinde ifade edildiği şekliyle ve Ulusal Yargı Ağı Bilişim Sistemi (UYAP) üzerinden ulaşılan bilgi ve belgelere göre ilgili olaylar özetle şöyledir: Datça Asliye Ceza Mahkemesinin 20/10/2010 tarihli kararıyla başvurucunun 221/7/1983 tarihli ve 2863 sayılı Kültür ve Tabiat Varlıklarını Koruma Kanunu'nun  maddesinin (b) bendinde düzenlenen sit alanlarında ve koruma alanlarında şartlara aykırı izinsiz inşai ve fiziki müdahalede bulunma suçundan 1 yıl 8 ay hapis ve 80 TL adli para cezası ile cezalandırılmasına karar verilmiştir. Anılan hüküm Yargıtay  Ceza Dairesinin 11/4/2014 tarihli kararıyla onanmıştır. Başvurucunun cezasının infazı devam ederken 2863 sayılı Kanun’un  maddesinin (a) ve (b) fıkraları Anayasa Mahkemesinin 11/4/2012 tarihli kararıyla iptal edilmiştir. İptal kararından sonra 8/10/2013 tarihli ve 6498 sayılı Kanun kabul edilmiş ve 11/10/2013 tarihinde Resmî Gazete’de yayımlanmıştır.,0.0001,0.0036,-0.0001,0.0058,0.1716,-0.0003,0.1175,-0.0005,0.0859,0.0941,0.0056,0.0089
471,high_confidence_correct,no_violation,no_violation,0.99721706,no_violation,0.9953,1,no_violation,1,11,3,0.3676," Olaylar  Başvuru formu ve eklerinde ifade edildiği şekliyle olaylar özetle şöyledir: Başvurucunun, İstanbul  Ağır Ceza Mahkemesinin 5/8/2013 tarih ve 2009/191 Esas, 2013/95 sayılı Kararıyla “Örgüt faaliyeti kapsamında kişisel verileri başkasına vermek ve Türkiye Cumhuriyeti İcra Vekilleri Heyetini cebren ıskat veya vazife görmekten men etmek” suçlarından toplam 13 yıl 6 ay 15 gün hapis cezası ile cezalandırılmasına karar vermiştir.   Başvurucu, hakkındaki yurt dışına çıkış yasağı tedbirinin kaldırılması talebinde bulunmuştur. İstanbul  Ağır Ceza Mahkemesi, 16/8/2013 tarihli kararıyla başvurucunun talebini reddetmiştir.",0.0028,-0.0016,0.0031,-0.0014,0.0205,-0.0009,0.015,-0.0004,0.1872,0.1063,0.0448,0.0215
438,high_confidence_correct,no_violation,no_violation,0.9971827,no_violation,0.9787,1,no_violation,1,10,5,0.3561," Komisyonca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına karar verilmiştir.  Başvurucu 7/10/2021 tarihinde ölmüştür.  Mahkeme 15/7/2014 tarihinde davayı kabul ederek krokide gösterilen alanda 763,35 TL bedel karşılığında geçit hakkı tesis edilmesine karar vermiştir. Yargıtay  Hukuk Dairesi (Daire) 3/11/2017 tarihinde kararı onamıştır. Karar düzeltme istemi de Dairece 5/11/2018 tarihinde reddedilmiştir.",0.0854,0.4436,0.0524,0.2181,0.3381,-0.0179,0.3345,-0.0167,0.1717,0.218,0.1191,0.1307
566,high_confidence_correct,no_violation,no_violation,0.99718153,no_violation,0.9974,1,no_violation,1,10,3,0.3788, Komisyonca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına ve başvurucunun adli yardım talebinin kabulüne karar verilmiştir.  Başvuru formu ve eklerinde ifade edildiği şekliyle ve Ulusal Yargı Ağı Bilişim Sistemi (UYAP) aracılığıyla erişilen bilgi ve belgeler çerçevesinde ilgili olaylar özetle şöyledir: Irak uyruklu başvurucu hakkında DEAŞ silahlı terör örgütünün üyesi olduğuna ilişkin istihbari bilgilerin bulunduğu gerekçesiyle Samsun Cumhuriyet Başsavcılığı tarafından soruşturma başlatılmış ve başvurucu 30/12/2019 tarihinde gözaltına alınmıştır. Başvurucu ifadesinin alınmasının ardından 7/1/2020 tarihinde serbest bırakılmıştır.,0.0112,0.0254,0.0126,0.0407,0.3081,0.0041,0.3712,0.0065,0.2553,0.2086,0.4284,0.3247
598,high_confidence_correct,no_violation,no_violation,0.99716645,no_violation,0.9959,1,no_violation,1,20,5,0.1826,"  Başvuru formu ve eklerinde ifade edildiği şekliyle olaylar özetle şöyledir: İstanbul Barosuna bağlı olarak serbest avukatlık yapmakta olan başvurucu, çok sayıda kişinin yargılandığı bir davanın sanıklardan H.İ.F.nin müdafilerinden biridir. Söz konusu davanın temyiz incelemesi Yargıtay  Ceza Dairesinde (Daire) yapılmıştır.",0.0043,0.3734,0.0023,0.3994,0.2741,0.0001,0.2901,0.0047,0.0154,0.0174,0.3337,0.5658
209,high_confidence_correct,no_violation,no_violation,0.9971239,no_violation,0.9959,1,no_violation,1,11,3,0.286,"   Başvuru formunda ifade edildiği şekliyle ve ilgili kamu makamlarından alınan bilgilere göre olaylar özetle şöyledir: Başvurucu, başvuru tarihinde 32 yaşında ve Bakırköy Dr. Sadi Konuk Araştırma Hastanesi Gebe Polikliniğinden (Hastane) alınan rapora göre 32 hafta 2 günlük gebedir.  Başvurucu, silahlı terör örgütüne üye olma suçunu işlediği iddiasıyla İstanbul Sulh Ceza Hâkimliğinin 13/3/2018 tarihli kararıyla tutuklanmış ve Bakırköy Kadın Kapalı Ceza İnfaz Kurumuna (Ceza İnfaz Kurumu) yerleştirilmiştir.",0.1201,0.0717,0.0982,0.0542,0.1854,-0.0003,0.1977,0.0059,0.0419,0.0662,0.2082,0.2279
552,high_confidence_correct,no_violation,no_violation,0.9970726,no_violation,0.9917,1,no_violation,1,12,5,0.4189," Başvuru, başvuru formu ve eklerinin idari yönden yapılan ön incelemesinden sonra Komisyona sunulmuştur. Komisyonca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına karar verilmiştir.   Başvuru formu ve eklerinde ifade edildiği şekliyle olaylar özetle şöyledir: Başvurucu, 2002 yılında yapılan Gümrük Müşavirliği Ön Eleme Sınavına katılmış ancak başarılı olamamıştır.  Başvurucunun açtığı dava sonucu başarısız sayılma işlemi Ankara  İdare Mahkemesinin 16/12/2004 tarihli kararı ile hatalı soruların olduğu gerekçesiyle iptal edilmiştir. İptal kararı üzerine çağrıldığı Gümrük Müşavirliği Mesleki Yeterlilik Sınavında başarılı olan başvurucu lehine gümrük müşavirliği izin belgesi düzenlenmiştir.",0.3333,-0.0032,0.3159,-0.0024,0.5034,-0.0063,0.48,-0.0051,0.1201,0.1479,0.2502,0.2687
40,high_confidence_correct,no_violation,no_violation,0.99703515,no_violation,0.9988,1,no_violation,1,11,5,0.5888," Komisyonca başvurunun kabul edilebilirlik incelemesinin Bölüm tarafından yapılmasına karar verilmiştir.    Başvuru formu ve eklerinde ifade edildiği şekliyle olaylar özetle şöyledir: Türkiye 15 Temmuz 2016 gecesi silahlı bir darbe teşebbüsüyle karşı karşıya kalmış ve Bakanlar Kurulu tarafından ülke genelinde 21/7/2016 tarihinden itibaren doksan gün süreyle olağanüstü hâl (OHAL) ilan edilmesine karar verilmiştir. Darbe teşebbüsüne ilişkin süreç, OHAL ilanı, OHAL döneminin gerektirdiği tedbirlere ilişkin detaylı açıklamalar Anayasa Mahkemesinin Aydın Yavuz ve diğerleri ([GK], B. No: 2016/22169, 20/6/2017, §§ 12-20, 47-66) kararında yer almaktadır. Söz konusu kararda da belirtildiği üzere 15 Temmuz darbe teşebbüsü sırasında ve sonrasında ülke genelinde Cumhuriyet başsavcılıklarının talimatı ile darbe girişimiyle bağlantılı ya da doğrudan darbe girişimiyle bağlantılı olmasa bile terör örgütü (Fetullahçı Terör Örgütü/Paralel Devlet Yapılanması, FETÖ/PDY) ile bağlantılı olduğu değerlendirilen çok sayıda kişi hakkında soruşturma başlatılmıştır.",0.0043,0.0093,0.0093,0.0145,0.2242,0.0003,0.1468,0.0008,0.2461,0.148,0.0431,0.0373
