idx,stratum,method,operator,comprehensiveness,sufficiency
230,high_confidence_correct,raw_attention,mask,0.17779551148414613,0.7464706271886825
230,high_confidence_correct,raw_attention,delete,0.060157608985900876,0.20705294609069824
230,high_confidence_correct,attention_rollout,mask,0.15323284268379211,0.6693652987480163
230,high_confidence_correct,attention_rollout,delete,0.11156629323959351,0.1606638491153717
230,high_confidence_correct,integrated_gradients,mask,0.19834114909172057,0.6555554866790771
230,high_confidence_correct,integrated_gradients,delete,0.11187429428100586,0.10856252908706665
230,high_confidence_correct,chefer_relevance,mask,0.3416632890701294,0.682563042640686
230,high_confidence_correct,chefer_relevance,delete,0.2145303726196289,0.1029894232749939
230,high_confidence_correct,random,mask,0.024311375617980958,0.7581681132316589
230,high_confidence_correct,random,delete,0.010913372039794922,0.2019830286502838
294,high_confidence_correct,raw_attention,mask,0.17127494215965272,0.6375167459249497
294,high_confidence_correct,raw_attention,delete,0.08972491025924682,0.09164811372756958
294,high_confidence_correct,attention_rollout,mask,0.1611379086971283,0.626361095905304
294,high_confidence_correct,attention_rollout,delete,0.10826528072357178,0.06985322237014771
294,high_confidence_correct,integrated_gradients,mask,0.3269207239151001,0.6176810562610626
294,high_confidence_correct,integrated_gradients,delete,0.2302838921546936,0.06500188112258912
294,high_confidence_correct,chefer_relevance,mask,0.3344081163406372,0.6184487819671631
294,high_confidence_correct,chefer_relevance,delete,0.18378375768661498,0.08390405178070068
294,high_confidence_correct,random,mask,0.03872218132019043,0.6467734277248383
294,high_confidence_correct,random,delete,0.008345973491668702,0.2552525520324707
143,high_confidence_correct,raw_attention,mask,0.15770337581634522,0.6168210804462433
143,high_confidence_correct,raw_attention,delete,0.04720175266265869,0.12346084117889404
143,high_confidence_correct,attention_rollout,mask,0.11801716089248657,0.6209489464759826
143,high_confidence_correct,attention_rollout,delete,0.08413926362991334,0.09135732650756836
143,high_confidence_correct,integrated_gradients,mask,0.18989982604980468,0.620455539226532
143,high_confidence_correct,integrated_gradients,delete,0.06951909065246582,0.047626936435699464
143,high_confidence_correct,chefer_relevance,mask,0.23194310665130616,0.6163288533687592
143,high_confidence_correct,chefer_relevance,delete,0.07995392084121704,0.025194740295410155
143,high_confidence_correct,random,mask,0.019699597358703615,0.6640593916177749
143,high_confidence_correct,random,delete,0.007485151290893555,0.3973474383354187
471,high_confidence_correct,raw_attention,mask,0.11236945390701295,0.6410331934690475
471,high_confidence_correct,raw_attention,delete,0.08678585290908813,0.09273068904876709
471,high_confidence_correct,attention_rollout,mask,0.14965423941612244,0.6394330203533173
471,high_confidence_correct,attention_rollout,delete,0.10377594232559204,0.13853857517242432
471,high_confidence_correct,integrated_gradients,mask,0.24995096921920776,0.6203569144010543
471,high_confidence_correct,integrated_gradients,delete,0.24967992901802064,0.11033362150192261
471,high_confidence_correct,chefer_relevance,mask,0.21886928081512452,0.6192695081233979
471,high_confidence_correct,chefer_relevance,delete,0.2909370183944702,0.1471956968307495
471,high_confidence_correct,random,mask,0.013508403301239013,0.6854087054729462
471,high_confidence_correct,random,delete,0.0017104148864746094,0.30124799609184266
438,high_confidence_correct,raw_attention,mask,0.1724902629852295,0.7499523401260376
438,high_confidence_correct,raw_attention,delete,0.0702054262161255,0.23129248023033142
438,high_confidence_correct,attention_rollout,mask,0.12228742241859436,0.6665447384119034
438,high_confidence_correct,attention_rollout,delete,0.03410460948944092,0.20677485466003417
438,high_confidence_correct,integrated_gradients,mask,0.16651661396026612,0.6690462440252304
438,high_confidence_correct,integrated_gradients,delete,0.11314185857772827,0.11165484189987182
438,high_confidence_correct,chefer_relevance,mask,0.17684069871902466,0.7637469589710235
438,high_confidence_correct,chefer_relevance,delete,0.0690482497215271,0.290727436542511
438,high_confidence_correct,random,mask,0.04513826370239258,0.7776383996009827
438,high_confidence_correct,random,delete,0.022761428356170656,0.2901491165161133
566,high_confidence_correct,raw_attention,mask,0.1265382170677185,0.6239958018064499
566,high_confidence_correct,raw_attention,delete,0.09171876907348633,0.07455166578292846
566,high_confidence_correct,attention_rollout,mask,0.10558332204818725,0.6191798001527786
566,high_confidence_correct,attention_rollout,delete,0.0911744475364685,0.14422001242637633
566,high_confidence_correct,integrated_gradients,mask,0.214317786693573,0.6244333118200303
566,high_confidence_correct,integrated_gradients,delete,0.13255140781402588,0.16740165948867797
566,high_confidence_correct,chefer_relevance,mask,0.21013906598091125,0.6196539551019669
566,high_confidence_correct,chefer_relevance,delete,0.12751660346984864,0.055829751491546634
566,high_confidence_correct,random,mask,0.01752638816833496,0.6423112094402313
566,high_confidence_correct,random,delete,0.0012054443359375,0.38455815315246583
598,high_confidence_correct,raw_attention,mask,0.12784364223480224,0.6981496810913086
598,high_confidence_correct,raw_attention,delete,0.20443564057350158,0.19742603302001954
598,high_confidence_correct,attention_rollout,mask,0.08597174882888795,0.6606839656829834
598,high_confidence_correct,attention_rollout,delete,0.10423535108566284,0.25787211656570436
598,high_confidence_correct,integrated_gradients,mask,0.2536952316761017,0.6521505177021026
598,high_confidence_correct,integrated_gradients,delete,0.22355349063873292,0.10131226778030396
598,high_confidence_correct,chefer_relevance,mask,0.21319499015808105,0.6680973261594773
598,high_confidence_correct,chefer_relevance,delete,0.20974098443984984,0.06350276470184327
598,high_confidence_correct,random,mask,0.024635207653045655,0.6807787388563156
598,high_confidence_correct,random,delete,0.013601577281951905,0.25120890736579893
209,high_confidence_correct,raw_attention,mask,0.14090583324432374,0.6398600220680237
209,high_confidence_correct,raw_attention,delete,0.1437901020050049,0.10871230363845825
209,high_confidence_correct,attention_rollout,mask,0.1337910532951355,0.632164654135704
209,high_confidence_correct,attention_rollout,delete,0.04481292963027954,0.34140645861625674
209,high_confidence_correct,integrated_gradients,mask,0.13950520753860474,0.6210636079311371
209,high_confidence_correct,integrated_gradients,delete,0.11617922782897949,0.13802963495254517
209,high_confidence_correct,chefer_relevance,mask,0.21379296779632567,0.6253055453300476
209,high_confidence_correct,chefer_relevance,delete,0.11885485649108887,0.03925069570541382
209,high_confidence_correct,random,mask,0.049433326721191405,0.6422370642423629
209,high_confidence_correct,random,delete,0.010151207447052002,0.31706138253211974
552,high_confidence_correct,raw_attention,mask,0.18796378374099731,0.7105010390281677
552,high_confidence_correct,raw_attention,delete,0.22766698598861695,0.24794222712516784
552,high_confidence_correct,attention_rollout,mask,0.22111642956733704,0.6649914681911469
552,high_confidence_correct,attention_rollout,delete,0.24037549793720245,0.19289417266845704
552,high_confidence_correct,integrated_gradients,mask,0.29443342685699464,0.6445901155471802
552,high_confidence_correct,integrated_gradients,delete,0.4593648284673691,0.04346446990966797
